Date,Open,High,Low,Close,Adj Close,Volume
2019-12-02,0.907630,0.908780,0.901780,0.907520,0.907520,0
2019-12-03,0.902850,0.903630,0.901500,0.902600,0.902600,0
2019-12-04,0.902380,0.903510,0.899810,0.902100,0.902100,0
2019-12-05,0.902310,0.902530,0.900500,0.902280,0.902280,0
2019-12-06,0.900560,0.905610,0.899900,0.900460,0.900460,0
2019-12-09,0.904339,0.904650,0.902500,0.904250,0.904250,0
2019-12-10,0.903790,0.903870,0.901100,0.903751,0.903751,0
2019-12-11,0.901400,0.903200,0.901000,0.901490,0.901490,0
2019-12-12,0.898210,0.899940,0.896590,0.898000,0.898000,0
2019-12-13,0.894180,0.899370,0.893900,0.893970,0.893970,0
2019-12-16,0.898860,0.899000,0.896230,0.898920,0.898920,0
2019-12-17,0.897900,0.898400,0.895000,0.897910,0.897910,0
2019-12-18,0.896740,0.899980,0.896740,0.896750,0.896750,0
2019-12-19,0.899610,0.900100,0.897470,0.899610,0.899610,0
2019-12-20,0.898980,0.902990,0.898800,0.898800,0.898800,0
2019-12-23,0.902540,0.903220,0.901100,0.902540,0.902540,0
2019-12-24,0.901470,0.903290,0.901100,0.901400,0.901400,0
2019-12-25,0.901600,0.902700,0.900200,0.901700,0.901700,0
2019-12-26,0.901300,0.902300,0.900500,0.901270,0.901270,0
2019-12-27,0.900800,0.900901,0.894400,0.900810,0.900810,0
2019-12-30,0.894330,0.894330,0.891210,0.894270,0.894270,0
2019-12-31,0.892500,0.892800,0.889600,0.892674,0.892674,0
2020-01-01,0.891200,0.896100,0.890600,0.891200,0.891200,0
2020-01-02,0.891350,0.895510,0.890700,0.891200,0.891200,0
2020-01-03,0.895190,0.898820,0.894400,0.895140,0.895140,0
2020-01-06,0.895860,0.896210,0.892200,0.895900,0.895900,0
2020-01-07,0.893190,0.898080,0.892900,0.893017,0.893017,0
2020-01-08,0.896400,0.900020,0.895640,0.896480,0.896480,0
2020-01-09,0.899730,0.901300,0.899100,0.899830,0.899830,0
2020-01-10,0.900150,0.902020,0.899200,0.900000,0.900000,0
2020-01-13,0.899560,0.899760,0.897290,0.899550,0.899550,0
2020-01-14,0.898110,0.900450,0.897200,0.898010,0.898010,0
2020-01-15,0.898500,0.899260,0.895780,0.898400,0.898400,0
2020-01-16,0.896644,0.898490,0.895100,0.896539,0.896539,0
2020-01-17,0.897827,0.901910,0.897263,0.897700,0.897700,0
2020-01-20,0.901290,0.902730,0.900500,0.901340,0.901340,0
2020-01-21,0.901190,0.902000,0.899300,0.901150,0.901150,0
2020-01-22,0.902050,0.903210,0.901080,0.902070,0.902070,0
2020-01-23,0.901100,0.906040,0.900640,0.901190,0.901190,0
2020-01-24,0.904540,0.907340,0.904090,0.904550,0.904550,0
2020-01-27,0.906920,0.908260,0.905800,0.907000,0.907000,0
2020-01-28,0.907470,0.909210,0.906900,0.907460,0.907460,0
2020-01-29,0.907200,0.909650,0.906600,0.907230,0.907230,0
2020-01-30,0.907930,0.908410,0.906080,0.907700,0.907700,0
2020-01-31,0.906720,0.907610,0.901700,0.906690,0.906690,0
2020-02-03,0.901790,0.905510,0.901790,0.901730,0.901730,0
2020-02-04,0.903920,0.906300,0.903700,0.903920,0.903920,0
2020-02-05,0.905410,0.909230,0.905100,0.905200,0.905200,0
2020-02-06,0.909050,0.911950,0.908030,0.908900,0.908900,0
2020-02-07,0.910660,0.913500,0.910167,0.910500,0.910500,0
2020-02-10,0.913350,0.916624,0.912300,0.913300,0.913300,0
2020-02-11,0.916400,0.917980,0.915164,0.916300,0.916300,0
2020-02-12,0.915600,0.918520,0.915332,0.915800,0.915800,0
2020-02-13,0.919420,0.922890,0.918200,0.919460,0.919460,0
2020-02-14,0.922000,0.923250,0.920600,0.922000,0.922000,0
2020-02-17,0.922460,0.923340,0.921319,0.922360,0.922360,0
2020-02-18,0.922760,0.927050,0.922594,0.922500,0.922500,0
2020-02-19,0.926380,0.927334,0.925200,0.926320,0.926320,0
2020-02-20,0.925100,0.927680,0.924129,0.925061,0.925061,0
2020-02-21,0.926980,0.926980,0.920500,0.926956,0.926956,0
2020-02-24,0.922630,0.925200,0.920500,0.922590,0.922590,0
2020-02-25,0.921740,0.923210,0.918970,0.921727,0.921727,0
2020-02-26,0.919033,0.921180,0.917130,0.918949,0.918949,0
2020-02-27,0.918640,0.918640,0.908620,0.918620,0.918620,0
2020-02-28,0.909460,0.913110,0.904750,0.909320,0.909320,0
2020-03-02,0.904770,0.906020,0.895730,0.904870,0.904870,0
2020-03-03,0.897320,0.901120,0.892260,0.897340,0.897340,0
2020-03-04,0.894670,0.901150,0.894000,0.894400,0.894400,0
2020-03-05,0.897740,0.899140,0.892500,0.897740,0.897740,0
2020-03-06,0.890960,0.891750,0.880690,0.890960,0.890960,0
2020-03-09,0.878260,0.880530,0.869880,0.878270,0.878270,0
2020-03-10,0.877390,0.882290,0.875430,0.877350,0.877350,0
2020-03-11,0.883690,0.888178,0.879820,0.883665,0.883665,0
2020-03-12,0.888040,0.902460,0.882390,0.887980,0.887980,0
2020-03-13,0.894170,0.903720,0.891160,0.894060,0.894060,0
2020-03-16,0.896090,0.901820,0.890044,0.896430,0.896430,0
2020-03-17,0.895790,0.912580,0.893730,0.895800,0.895800,0
2020-03-18,0.907700,0.923200,0.905387,0.907810,0.907810,0
2020-03-19,0.913790,0.934760,0.913610,0.912280,0.912280,0
2020-03-20,0.938220,0.938570,0.923370,0.938320,0.938320,0
2020-03-23,0.935670,0.938050,0.923800,0.935070,0.935070,0
2020-03-24,0.928960,0.929940,0.918400,0.928970,0.928970,0
2020-03-25,0.925820,0.928490,0.921700,0.925700,0.925700,0
2020-03-26,0.918480,0.919410,0.906990,0.918310,0.918310,0
2020-03-27,0.905290,0.912810,0.902000,0.905120,0.905120,0
2020-03-30,0.898040,0.908080,0.897840,0.897740,0.897740,0
2020-03-31,0.906750,0.914940,0.905500,0.906580,0.906580,0
2020-04-01,0.906770,0.915860,0.906000,0.906900,0.906900,0
2020-04-02,0.913160,0.922140,0.912160,0.912940,0.912940,0
2020-04-03,0.922180,0.927971,0.920900,0.921880,0.921880,0
2020-04-06,0.925220,0.928570,0.922990,0.925330,0.925330,0
2020-04-07,0.925760,0.926664,0.915470,0.925600,0.925600,0
2020-04-08,0.917910,0.923210,0.917750,0.917840,0.917840,0
2020-04-09,0.920710,0.922356,0.913780,0.920500,0.920500,0
2020-04-10,0.915250,0.915660,0.912900,0.915130,0.915130,0
2020-04-13,0.914800,0.917970,0.911700,0.914690,0.914690,0
2020-04-14,0.915790,0.916110,0.910420,0.915500,0.915500,0
2020-04-15,0.910550,0.921010,0.910000,0.910300,0.910300,0
2020-04-16,0.917110,0.923390,0.916780,0.917002,0.917002,0
2020-04-17,0.920800,0.924840,0.918000,0.920940,0.920940,0
2020-04-20,0.920280,0.922250,0.917680,0.920220,0.920220,0
2020-04-21,0.920510,0.924390,0.919120,0.920400,0.920400,0
2020-04-22,0.921030,0.923850,0.918850,0.921110,0.921110,0
2020-04-23,0.925340,0.929510,0.922170,0.925100,0.925100,0
2020-04-24,0.927960,0.932170,0.924410,0.927900,0.927900,0
2020-04-27,0.923900,0.924880,0.920780,0.923900,0.923900,0
2020-04-28,0.923600,0.924960,0.918300,0.923800,0.923800,0
2020-04-29,0.923160,0.923220,0.919600,0.922800,0.922800,0
2020-04-30,0.919400,0.922880,0.911580,0.919350,0.919350,0
2020-05-01,0.913680,0.914460,0.907750,0.913620,0.913620,0
2020-05-04,0.912620,0.917320,0.912590,0.912440,0.912440,0
2020-05-05,0.917050,0.923620,0.915640,0.917070,0.917070,0
2020-05-06,0.922500,0.927280,0.922100,0.922630,0.922630,0
2020-05-07,0.925880,0.928720,0.924580,0.926050,0.926050,0
2020-05-08,0.922770,0.924530,0.919680,0.922750,0.922750,0
2020-05-11,0.922500,0.925560,0.921400,0.922550,0.922550,0
2020-05-12,0.925140,0.927180,0.919080,0.925120,0.925120,0
2020-05-13,0.921970,0.923240,0.917990,0.921930,0.921930,0
2020-05-14,0.924050,0.927940,0.923800,0.923900,0.923900,0
2020-05-15,0.925390,0.926710,0.921700,0.925330,0.925330,0
2020-05-18,0.924260,0.925850,0.916360,0.924100,0.924100,0
2020-05-19,0.916100,0.917200,0.911150,0.916160,0.916160,0
2020-05-20,0.914900,0.914980,0.909170,0.915100,0.915100,0
2020-05-21,0.910800,0.914120,0.908370,0.910500,0.910500,0
2020-05-22,0.913040,0.918600,0.912800,0.913000,0.913000,0
2020-05-25,0.916670,0.919790,0.916200,0.916775,0.916775,0
2020-05-26,0.917340,0.917570,0.909790,0.917179,0.917179,0
2020-05-27,0.910700,0.914360,0.906630,0.910600,0.910600,0
2020-05-28,0.907830,0.909660,0.903190,0.907700,0.907700,0
2020-05-29,0.902680,0.903310,0.897290,0.902600,0.902600,0
2020-06-01,0.899720,0.900780,0.896700,0.899400,0.899400,0
2020-06-02,0.898830,0.899630,0.893200,0.898800,0.898800,0
2020-06-03,0.894000,0.894370,0.888890,0.893700,0.893700,0
2020-06-04,0.889900,0.893180,0.880240,0.890000,0.890000,0
2020-06-05,0.882050,0.886080,0.878430,0.882000,0.882000,0
2020-06-08,0.883700,0.887350,0.883490,0.883430,0.883430,0
2020-06-09,0.884730,0.889390,0.880020,0.884520,0.884520,0
2020-06-10,0.882290,0.882290,0.878050,0.882440,0.882440,0
2020-06-11,0.879610,0.882920,0.877180,0.879860,0.879860,0
2020-06-12,0.885790,0.890100,0.881850,0.885890,0.885890,0
2020-06-15,0.888560,0.890570,0.885580,0.888730,0.888730,0
2020-06-16,0.881990,0.890340,0.881070,0.882010,0.882010,0
2020-06-17,0.887710,0.892040,0.885200,0.887650,0.887650,0
2020-06-18,0.889580,0.892490,0.887900,0.889450,0.889450,0
2020-06-19,0.892280,0.894940,0.888652,0.891981,0.891981,0
2020-06-22,0.894500,0.894810,0.887490,0.894650,0.894650,0
2020-06-23,0.886750,0.890130,0.881135,0.886550,0.886550,0
2020-06-24,0.883890,0.888110,0.882900,0.883990,0.883990,0
2020-06-25,0.888780,0.893540,0.888100,0.888820,0.888820,0
2020-06-26,0.891200,0.893030,0.889760,0.891100,0.891100,0
2020-06-29,0.890940,0.891220,0.885800,0.890800,0.890800,0
2020-06-30,0.889120,0.893470,0.887970,0.889110,0.889110,0
2020-07-01,0.890180,0.893720,0.886950,0.890000,0.890000,0
2020-07-02,0.888620,0.890650,0.884700,0.888780,0.888780,0
2020-07-03,0.889700,0.891180,0.888800,0.889850,0.889850,0
2020-07-06,0.888980,0.888980,0.881300,0.889110,0.889110,0
2020-07-07,0.884150,0.888070,0.882100,0.883950,0.883950,0
2020-07-08,0.887090,0.887690,0.881400,0.886900,0.886900,0
2020-07-09,0.882000,0.885900,0.879300,0.881900,0.881900,0
2020-07-10,0.885800,0.888320,0.883020,0.885900,0.885900,0
2020-07-13,0.884270,0.884600,0.879470,0.884170,0.884170,0
2020-07-14,0.881380,0.882900,0.876650,0.881407,0.881407,0
2020-07-15,0.876360,0.877690,0.873134,0.876370,0.876370,0
2020-07-16,0.875860,0.878770,0.873897,0.875872,0.875872,0
2020-07-17,0.878233,0.878820,0.874000,0.877800,0.877800,0
2020-07-20,0.874160,0.876790,0.872000,0.873900,0.873900,0
2020-07-21,0.872780,0.875180,0.869716,0.872700,0.872700,0
2020-07-22,0.866920,0.868920,0.862000,0.867000,0.867000,0
2020-07-23,0.864550,0.866390,0.860270,0.864400,0.864400,0
2020-07-24,0.862440,0.863430,0.859100,0.862360,0.862360,0
2020-07-27,0.858180,0.858180,0.848930,0.858180,0.858180,0
2020-07-28,0.849870,0.854628,0.849200,0.849670,0.849670,0
2020-07-29,0.853200,0.853610,0.848969,0.853330,0.853330,0
2020-07-30,0.848400,0.852320,0.846930,0.848690,0.848690,0
2020-07-31,0.842200,0.847270,0.839772,0.842300,0.842300,0
2020-08-03,0.848600,0.854600,0.848350,0.848730,0.848730,0
2020-08-04,0.850300,0.852940,0.847100,0.850100,0.850100,0
2020-08-05,0.846390,0.847460,0.839960,0.846350,0.846350,0
2020-08-06,0.842200,0.845970,0.839500,0.842260,0.842260,0
2020-08-07,0.842100,0.850590,0.841500,0.842000,0.842000,0
2020-08-10,0.848720,0.851571,0.847314,0.848700,0.848700,0
2020-08-11,0.851960,0.853010,0.847100,0.851950,0.851950,0
2020-08-12,0.851800,0.853750,0.846550,0.852040,0.852040,0
2020-08-13,0.847710,0.847840,0.842886,0.847903,0.847903,0
2020-08-14,0.846100,0.848560,0.844737,0.846270,0.846270,0
2020-08-17,0.843850,0.845280,0.841700,0.843700,0.843700,0
2020-08-18,0.841800,0.842080,0.835760,0.842000,0.842000,0
2020-08-19,0.837010,0.840800,0.836500,0.836970,0.836970,0
2020-08-20,0.844470,0.846990,0.842570,0.844345,0.844345,0
2020-08-21,0.842400,0.850709,0.841300,0.842200,0.842200,0
2020-08-24,0.847520,0.848450,0.843700,0.847600,0.847600,0
2020-08-25,0.847800,0.848550,0.844300,0.847850,0.847850,0
2020-08-26,0.845070,0.849180,0.844600,0.844950,0.844950,0
